scenario,source,target,calibration_domain,model,n_cycles,confidence_level,adapter_type,k_adapter,k_target,coverage_mean,coverage_std,coverage_gap_mean,coverage_gap_std,coverage_wilson95_lower_mean,coverage_wilson95_lower_std,coverage_wilson95_upper_mean,coverage_wilson95_upper_std,mean_width_mean,mean_width_std,median_width_mean,median_width_std,winkler_mean_mean,winkler_mean_std,MAE_mean,MAE_median,MAE_std,SMAPE_mean,SMAPE_median,SMAPE_std,R2_mean,R2_median,R2_std,q_hat_mean,q_hat_std,finite_q_mean,adapter_slope_mean,adapter_slope_std,adapter_intercept_mean,adapter_intercept_std,coverage_short_mean,coverage_short_std,coverage_mid_mean,coverage_mid_std,coverage_long_mean,coverage_long_std,coverage_short_life_mean,coverage_short_life_std,coverage_long_life_mean,coverage_long_life_std,coverage_short_life_wilson95_lower_mean,coverage_short_life_wilson95_lower_std,coverage_short_life_wilson95_upper_mean,coverage_short_life_wilson95_upper_std,coverage_long_life_wilson95_lower_mean,coverage_long_life_wilson95_lower_std,coverage_long_life_wilson95_upper_mean,coverage_long_life_wilson95_upper_std,short_long_coverage_gap_mean,short_long_coverage_gap_std,lifetime_split_threshold_mean,lifetime_split_threshold_std,n_train_mean,n_adapter_mean,n_calibration_mean,n_test_mean,n_short_life_mean,n_short_life_std,n_long_life_mean,n_long_life_std,n_runs
cross_source_calibrated_cp,hust,matr,hust,catboost,100,0.9,none,,,0.2697674418604651,0.19491153218391816,0.6302325581395349,0.1949115321839181,0.2071220701404441,0.1800014453099762,0.345728368816444,0.1986477126791448,918.8285542477436,349.9914502623581,918.8285542477436,349.99145026235817,6332.433274576065,2519.2658943998904,670.9436156390645,669.7947884893928,33.418676436548054,66.37915269921146,66.29359113882781,1.973657875329217,-3.064543073408135,-3.04926739329387,0.38438051656113575,459.4142771238718,174.99572513117906,1.0,,,,,0.00465116279069766,0.010400316174417593,0.1767441860465116,0.3439974341786157,0.627906976744186,0.2526228021209353,0.04375,0.08934986534684873,0.49230769230769234,0.3034320449740926,0.025099544023034805,0.054592536370749,0.11406991053789999,0.1141055696138998,0.39820849281832216,0.32013373869097617,0.5872653768943371,0.2539804055804253,0.4485576923076923,0.22238130050927887,740.0,0.0,53.0,0.0,12.0,129.0,64.0,0.0,65.0,0.0,5
cross_source_calibrated_cp,hust,matr,hust,catboost,100,0.95,none,,,0.2697674418604651,0.19491153218391816,0.6802325581395349,0.1949115321839181,0.2071220701404441,0.1800014453099762,0.345728368816444,0.1986477126791448,918.8285542477436,349.9914502623581,918.8285542477436,349.99145026235817,11746.037994904375,5378.038462494779,670.9436156390645,669.7947884893928,33.418676436548054,66.37915269921146,66.29359113882781,1.973657875329217,-3.064543073408135,-3.04926739329387,0.38438051656113575,inf,,0.0,,,,,0.00465116279069766,0.010400316174417593,0.1767441860465116,0.3439974341786157,0.627906976744186,0.2526228021209353,0.04375,0.08934986534684873,0.49230769230769234,0.3034320449740926,0.025099544023034805,0.054592536370749,0.11406991053789999,0.1141055696138998,0.39820849281832216,0.32013373869097617,0.5872653768943371,0.2539804055804253,0.4485576923076923,0.22238130050927887,740.0,0.0,53.0,0.0,12.0,129.0,64.0,0.0,65.0,0.0,5
cross_source_calibrated_cp,hust,matr,hust,random_forest,100,0.9,none,,,0.30542635658914724,0.1754577143663887,0.5945736434108527,0.1754577143663887,0.23727762110922157,0.16463768096846373,0.3848283054166333,0.17616885666733836,941.108027503046,255.91774517466894,941.108027503046,255.91774517466894,5022.352959457445,1487.5965189662047,610.2009827688892,603.4008900096555,58.55323039897145,62.6360918427866,62.340083353987175,3.670485795760485,-2.403228691422733,-2.2909099146970813,0.6110953394209853,470.5540137515227,127.9588725873351,1.0,,,,,0.0,0.0,0.20465116279069764,0.3667494211479891,0.7116279069767442,0.18058854565876448,0.05625,0.0998044963916957,0.5507692307692308,0.2519509673345757,0.031157916341850778,0.06504762628494515,0.1315959367242639,0.12338008856401492,0.4469472575907707,0.2707980652244702,0.6489252023056777,0.20543540478926817,0.49451923076923077,0.1567483178000201,740.0,0.0,53.0,0.0,12.0,129.0,64.0,0.0,65.0,0.0,5
cross_source_calibrated_cp,hust,matr,hust,random_forest,100,0.95,none,,,0.30542635658914724,0.1754577143663887,0.6445736434108527,0.17545771436638866,0.23727762110922157,0.16463768096846373,0.3848283054166333,0.17616885666733836,941.1080275030463,255.91774517466834,941.1080275030465,255.91774517466834,9103.597891411828,3195.0742609429944,610.2009827688895,603.4008900096563,58.55323039897169,62.63609184278662,62.34008335398724,3.670485795760496,-2.4032286914227354,-2.29090991469709,0.6110953394209877,inf,,0.0,,,,,0.0,0.0,0.20465116279069764,0.3667494211479891,0.7116279069767442,0.18058854565876448,0.05625,0.0998044963916957,0.5507692307692308,0.2519509673345757,0.031157916341850778,0.06504762628494515,0.1315959367242639,0.12338008856401492,0.4469472575907707,0.2707980652244702,0.6489252023056777,0.20543540478926817,0.49451923076923077,0.1567483178000201,740.0,0.0,53.0,0.0,12.0,129.0,64.0,0.0,65.0,0.0,5
cross_source_calibrated_cp,matr,hust,matr,catboost,100,0.9,none,,,0.18961038961038953,0.161059906471974,0.7103896103896103,0.16105990647197396,0.12845721213643335,0.12237679866830642,0.2802620181038308,0.18476433532061212,1118.6128428871518,374.3895906699398,1118.6128428871518,374.3895906699401,7844.776006349704,2545.5247562256354,861.0411623434178,862.0466023480338,40.41587569250853,79.4773510612705,79.59836127145806,5.318555013673753,-9.995302115770333,-10.059274067200578,0.9039888761844795,559.3064214435759,187.19479533497,1.0,,,,,0.5230769230769231,0.4253435784907463,0.04,0.06928203230275509,0.0,0.0,0.38421052631578945,0.3263582315353157,0.0,0.0,0.27780761699170575,0.268618790570573,0.5118746682815872,0.32577121736341497,0.0,0.0,0.0896668537075713,0.0,0.38421052631578945,0.3263582315353157,1513.0,0.0,89.0,0.0,20.0,77.0,38.0,0.0,39.0,0.0,5
cross_source_calibrated_cp,matr,hust,matr,catboost,100,0.95,none,,,0.2805194805194805,0.1793900950631897,0.6694805194805195,0.17939009506318968,0.20191226157652786,0.1461425421718949,0.37998543679420277,0.19633922601167006,1334.5272772943613,403.0806000105025,1334.5272772943613,403.08060001050256,11581.59995367834,5249.23263177901,861.0411623434178,862.0466023480338,40.41587569250853,79.4773510612705,79.59836127145806,5.318555013673753,-9.995302115770333,-10.059274067200578,0.9039888761844795,667.2636386471806,201.54030000525125,1.0,,,,,0.7076923076923076,0.381332140244475,0.128,0.22521101216414796,0.0,0.0,0.5473684210526316,0.3320381114860527,0.020512820512820502,0.04586806107691874,0.42260387022752344,0.2969159578896664,0.6634351948879476,0.30982009542456596,0.00812266268933676,0.01816282593165825,0.11889119189177007,0.06534760677731123,0.5268556005398111,0.3052701977898874,1513.0,0.0,89.0,0.0,20.0,77.0,38.0,0.0,39.0,0.0,5
cross_source_calibrated_cp,matr,hust,matr,random_forest,100,0.9,none,,,0.14805194805194805,0.12134346625244759,0.7519480519480519,0.12134346625244752,0.09279347272758835,0.09060141814781068,0.23675845779589108,0.14108294409367383,954.6166257982516,388.22297824394326,954.6166257982513,388.22297824394326,9661.80864893031,2850.845593022009,891.6771054879158,919.2441361879696,86.8779489970504,84.34781454124521,87.47813473974368,10.785206844999951,-10.929441215216682,-11.430578184409804,1.7055223299800417,477.3083128991251,194.11148912197217,1.0,,,,,0.43076923076923074,0.3455122258688571,0.008,0.017888543819998316,0.0,0.0,0.29999999999999993,0.24588018161680167,0.0,0.0,0.19729646782066332,0.19641497792961485,0.43942747946957006,0.25193507243312896,0.0,0.0,0.0896668537075713,0.0,0.29999999999999993,0.24588018161680167,1513.0,0.0,89.0,0.0,20.0,77.0,38.0,0.0,39.0,0.0,5
cross_source_calibrated_cp,matr,hust,matr,random_forest,100,0.95,none,,,0.2701298701298701,0.15459455729821278,0.6798701298701297,0.15459455729821275,0.19146133562163054,0.1218124890091491,0.37064453781990386,0.17325121587016093,1295.0263792244045,471.37887203160636,1295.0263792244045,471.37887203160614,13404.251868928692,6732.7265122277895,891.6771054879157,919.2441361879692,86.87794899705067,84.34781454124519,87.47813473974365,10.785206844999978,-10.929441215216679,-11.4305781844098,1.7055223299800468,647.5131896122026,235.6894360158032,1.0,,,,,0.7153846153846154,0.3685089097539534,0.088,0.15594870951694342,0.0,0.0,0.5421052631578946,0.3055352689199998,0.0051282051282051195,0.01146701526922967,0.4130150022290279,0.2656022989643253,0.6634641667625018,0.29273095549215816,0.000908140620198,0.002030664159891547,0.09809546330575718,0.018846944017350823,0.5369770580296895,0.2982656120212133,1513.0,0.0,89.0,0.0,20.0,77.0,38.0,0.0,39.0,0.0,5
cross_target_adapted_cp,hust,matr,matr,catboost,100,0.9,residual_mean,5.0,5.0,0.8184873949579832,0.1552584482284709,0.1299663865546218,0.11728053665593077,0.7493254968697062,0.1708858144432643,0.8677300210938316,0.13071064967737714,1203.2331268215814,582.0288255328641,1203.2331268215814,582.028825532864,1990.1417007724126,456.2265068900399,307.2631652636645,285.097442740264,67.08132307989975,39.17810336089054,37.14265160260186,6.538546726517187,-0.22221690212238723,-0.06835351216147659,0.6106278474991074,inf,,0.0,1.0,0.0,-620.2651612810796,171.7160563212891,0.7797499999999999,0.285987898839843,0.9725641025641026,0.07733250274183541,0.7070000000000001,0.23924016925645777,0.8393220338983051,0.213367107091259,0.7979999999999999,0.17727643957090303,0.7495841674610608,0.2322289580226424,0.8875748156594035,0.17032410808931958,0.6940965789554403,0.19064863511242824,0.8660409971678742,0.1446674736192006,0.17878531073446324,0.16336757894358062,736.89,21.65472631360582,53.0,5.0,5.0,119.0,59.0,0.0,60.0,0.0,100
cross_target_adapted_cp,hust,matr,matr,catboost,100,0.9,residual_mean,5.0,10.0,0.9121052631578948,0.07199031010229823,0.05908771929824556,0.042473491737746186,0.850229826086167,0.08591870983022734,0.9471126452334404,0.053806922100871644,1474.8376529632953,512.9134377000842,1474.8376529632953,512.9134377000843,1849.5615399107817,343.738625801957,296.90351089990645,285.97596623452614,35.72679524432577,38.20588113883467,37.14731797660523,4.0337386922733325,-0.12987601315642944,-0.05199272195794475,0.20623450229437945,737.4188264816477,256.45671885004214,1.0,1.0,0.0,-640.6016258491843,147.2242980751184,0.9260796221322538,0.14704805668496604,0.9997368421052631,0.002631578947368407,0.8105263157894737,0.13884761131490825,0.9505263157894737,0.09799403245565964,0.8736842105263157,0.09256507420993886,0.8732317319768034,0.11988698857254879,0.9709294863030388,0.06450102183560767,0.7696162107480695,0.10927846879279518,0.9305642389933882,0.0648374941616384,0.11649122807017541,0.08870682829921789,745.67,24.573967913015142,53.0,5.0,10.0,114.0,57.0,0.0,57.0,0.0,100
